ticker,buy_date,buy_close
AAT,2021-01-26,28.69
ABBV,2021-02-02,103.47
ABM,2021-01-29,36.74
ABMD,2021-02-10,324.51
ACAD,2021-02-09,50.45
ACC,2021-01-29,41.16
ACER,2021-02-12,3.84
ADBE,2021-01-06,466.31
ADES,2021-01-14,5.52
ADIL,2021-01-05,1.82
ADMA,2020-08-25,2.83
AEE,2021-01-08,75.0
AEP,2020-11-16,88.39
AFG,2021-01-26,84.04
AFMD,2021-02-08,6.0
AGLE,2021-01-27,6.95
AGR,2020-11-17,48.12
AGS,2020-12-18,6.38
AGX,2021-02-05,44.89
AIMC,2021-02-04,55.09
AIT,2021-01-28,72.8
AJG,2020-10-28,103.91
ALCO,2021-01-28,30.08
ALLK,2020-11-19,98.6
ALOT,2021-02-10,10.89
ALPN,2021-01-20,13.29
ALSK,2021-01-25,3.29
ALSN,2021-01-20,41.63
ALX,2021-02-02,270.97
AMAT,2020-12-24,85.33
AMD,2021-02-01,87.66
AMPH,2021-01-29,18.18
AMRK,2020-12-28,25.96
ANGO,2021-01-29,18.74
ANIK,2021-01-14,41.0
AOS,2021-01-29,54.3
APA,2020-09-04,14.54
APD,2021-02-09,254.44
APLS,2021-02-01,44.2
APRE,2020-11-02,21.65
APVO,2020-10-16,6.98
ARCT,2021-01-28,65.48
ARDC,2021-01-25,14.43
ARGO,2021-02-12,44.65
ARMK,2021-01-20,36.37
AROW,2021-02-03,29.41
ARPO,2021-01-06,1.1
ARVN,2021-01-27,68.7
ASH,2020-07-16,71.46
ASMB,2021-01-28,5.57
ASRT,2020-10-28,0.66
ATLO,2021-01-26,23.45
ATRA,2021-02-01,18.86
ATSG,2021-01-12,28.61
AUB,2021-02-05,34.74
AUBN,2021-02-08,40.33
AUY,2021-01-12,5.4
AVA,2021-02-02,37.71
AWK,2020-12-07,149.82
AXGN,2021-02-10,19.29
AYI,2020-08-31,109.02
B,2021-01-28,49.12
BAP,2021-01-06,162.67
BAX,2021-02-08,77.6
BCML,2021-02-02,14.5
