ticker,cnt_gain,min_pct_gain,max_pct_gain,std_pct_gain,mean_pct_gain,mean_day_gain,gain_daily_ret,cnt_desired,cnt_loss,min_pct_loss,max_pct_loss,std_pct_loss,mean_pct_loss,mean_day_loss,loss_daily_ret,cnt_zero,mean_day_zero,total_cnt,total_days,mean_day,daily_ret,pct_desired,gain_ratio,good
A,2,7.83,42.69,24.649742392163045,25.259999999999998,145.0,0.15,0,1,-1.08,-1.08,0.0,-1.08,129.0,-0.01,0,0.0,3,419,139.66666666666666,0.1,0.0,66.67,0
AA,2,62.45,67.49,3.563818177180194,64.97,63.0,0.8,2,3,-26.46,-0.64,13.105881631288044,-12.246666666666668,62.333333333333336,-0.22,0,0.0,5,313,62.6,0.19,40.0,40.0,1
AAL,3,4.96,29.49,12.945672378572436,14.833333333333334,27.666666666666668,0.49,2,3,-10.12,-0.25,4.971046167558696,-4.84,78.66666666666667,-0.06,0,0.0,6,319,53.166666666666664,0.08,33.33,50.0,1
AAMC,3,9.98,30.21,10.442616211148112,21.593333333333334,42.0,0.46,1,3,-60.57,-1.67,30.21606416020017,-27.21666666666667,50.666666666666664,-0.76,0,0.0,6,278,46.333333333333336,-0.21,16.67,50.0,0
AAME,3,5.96,29.23,12.644502099067932,14.736666666666666,30.0,0.45,1,3,-8.67,-0.49,4.6115940844788135,-5.809999999999999,32.333333333333336,-0.19,0,0.0,6,187,31.166666666666668,0.12,16.67,50.0,1
AAOI,2,20.02,54.0,24.027488424718882,37.01,70.5,0.44,1,1,-77.15,-77.15,0.0,-77.15,207.0,-0.71,0,0.0,3,348,116.0,-0.25,33.33,66.67,0
AAPL,5,1.24,32.8,11.584083908535883,17.849999999999998,69.8,0.23,1,1,-8.57,-8.57,0.0,-8.57,16.0,-0.56,0,0.0,6,365,60.833333333333336,0.2,16.67,83.33,1
AAT,1,17.22,17.22,0.0,17.22,126.0,0.13,0,3,-50.2,-0.71,28.364680502343052,-17.45,51.666666666666664,-0.46,0,0.0,4,281,70.25,-0.2,0.0,25.0,0
AAXN,4,4.19,24.46,9.274549405047486,17.79,53.75,0.3,1,2,-8.0,-4.11,2.7506453788156695,-6.055,23.5,-0.27,0,0.0,6,262,43.666666666666664,0.2,16.67,66.67,1
ABBV,4,1.56,14.88,7.437943264101979,8.4,80.5,0.1,0,1,-8.73,-8.73,0.0,-8.73,26.0,-0.35,0,0.0,5,348,69.6,0.06,0.0,80.0,0
ABC,2,12.74,18.75,4.24971175493115,15.745000000000001,49.5,0.3,0,4,-8.11,-0.33,3.716674140500706,-5.039999999999999,43.5,-0.12,0,0.0,6,273,45.5,0.03,0.0,33.33,0
ABCB,4,0.65,57.34,25.560660528763076,20.125,72.25,0.23,1,3,-19.88,-6.21,7.398439024551057,-11.409999999999998,30.0,-0.41,0,0.0,7,379,54.142857142857146,0.08,14.29,57.14,1
