buy_close,buy_date,daily_return,gain_pct,sell_close,sell_date,ticker,trading_days
38.98,2014-09-05,-0.21,-6.57,36.42,2014-10-21,A,32
38.47,2014-11-18,0.05,3.35,39.76,2015-02-24,A,65
38.08,2015-06-24,0.05,1.34,38.59,2015-08-04,A,28
36.95,2015-08-12,-0.53,-6.66,34.49,2015-08-31,A,13
33.95,2015-10-13,0.24,14.61,38.91,2016-01-06,A,58
36.28,2016-03-10,0.22,9.4,39.69,2016-05-06,A,40
43.6,2016-05-26,0.02,2.73,44.79,2016-12-27,A,148
51.42,2017-03-27,0.26,11.67,57.42,2017-05-25,A,42
57.47,2017-07-06,0.01,0.17,57.57,2017-08-11,A,26
63.83,2017-09-22,0.12,3.93,66.34,2017-11-06,A,31
65.39,2017-12-26,-0.0,-0.29,65.2,2018-03-29,A,64
63.67,2018-06-06,-0.3,-3.3,61.57,2018-06-21,A,11
65.29,2018-08-28,-0.1,-5.91,61.43,2018-11-19,A,58
68.6,2019-01-14,-0.01,-1.08,67.86,2019-07-19,A,129
74.71,2019-10-21,0.14,42.69,106.6,2020-10-22,A,254
110.02,2020-11-10,0.21,7.83,118.64,2021-01-04,A,36
37.22,2014-09-24,0.11,1.07,37.62,2014-10-08,AA,10
40.74,2014-11-25,-0.24,-8.35,37.34,2015-01-21,AA,37
27.24,2015-06-25,-0.38,-17.03,22.6,2015-09-03,AA,49
21.14,2015-10-29,0.31,13.53,24.0,2015-12-29,AA,41
23.18,2016-03-16,0.27,6.99,24.8,2016-04-21,AA,25
22.55,2016-06-15,0.24,3.95,23.44,2016-07-08,AA,16
25.3,2016-07-21,0.15,44.78,36.63,2017-07-26,AA,255
44.8,2017-09-14,0.4,11.79,50.08,2017-10-24,AA,28
41.4,2017-12-08,1.93,33.26,55.17,2018-01-02,AA,15
47.86,2018-03-09,-0.34,-5.24,45.35,2018-04-03,AA,16
42.48,2018-08-02,0.04,0.92,42.87,2018-09-05,AA,23
39.46,2018-10-22,-0.52,-8.92,35.94,2018-11-15,AA,18
28.34,2019-01-04,-0.01,-0.64,28.16,2019-03-29,AA,58
25.01,2019-05-14,-0.25,-9.64,22.6,2019-07-12,AA,41
22.56,2019-09-16,-0.35,-26.46,16.59,2020-01-22,AA,88
7.29,2020-05-12,0.56,67.49,12.21,2020-09-22,AA,92
13.61,2020-11-02,1.44,62.45,22.11,2020-12-21,AA,34
35.4,2014-08-06,0.05,1.41,35.9,2014-09-16,AAL,28
39.18,2014-10-31,0.54,34.43,52.67,2015-01-22,AAL,55
48.91,2015-02-24,-0.32,-21.37,38.46,2015-06-10,AAL,74
39.68,2015-08-03,0.05,4.76,41.57,2015-12-29,AAL,103
37.14,2016-01-19,-0.08,-5.28,35.18,2016-04-27,AAL,69
30.28,2016-05-26,-0.56,-12.09,26.62,2016-06-29,AAL,23
34.21,2016-08-01,0.21,32.97,45.49,2017-02-16,AAL,138
40.41,2017-03-17,0.33,18.93,48.06,2017-06-02,AAL,53
42.64,2017-09-07,0.21,15.36,49.19,2017-12-12,AAL,67
53.4,2018-01-24,-0.03,-0.79,52.98,2018-02-28,AAL,24
43.25,2018-06-06,-0.53,-11.03,38.48,2018-07-09,AAL,22
37.09,2018-08-17,-0.48,-16.37,31.02,2018-10-10,AAL,37
32.89,2019-01-09,0.17,4.96,34.52,2019-02-21,AAL,29
